2025-04-15 11:30:18,361 - DEBUG - pymongo.topology  - {"message": "Starting topology monitoring", "topologyId": {"$oid": "67fe434a9994c0b5bbcfd8df"}}
2025-04-15 11:40:41,545 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": false, "durationMS": 1.137702000050922, "reply": "{\"helloOk\": true, \"ismaster\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:40:41.545Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 9, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:40:41,547 - DEBUG - pymongo.connection  - {"message": "Connection pool ready", "clientId": {"$oid": "67fe45b913fef0e1d85517e5"}, "serverHost": "mongo", "serverPort": 27017}
2025-04-15 11:40:41,548 - DEBUG - pymongo.topology  - {"message": "Topology description changed", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "previousDescription": "<TopologyDescription id: 67fe45b913fef0e1d85517e5, topology_type: Unknown, servers: [<ServerDescription ('mongo', 27017) server_type: Unknown, rtt: None>]>", "newDescription": "<TopologyDescription id: 67fe45b913fef0e1d85517e5, topology_type: Single, servers: [<ServerDescription ('mongo', 27017) server_type: Standalone, rtt: 0.001137702000050922>]>"}
2025-04-15 11:40:41,549 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:40:51,561 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10010.58348200013, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:40:51.560Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 9, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:40:51,562 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:41:01,570 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10008.79618099998, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:41:01.568Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 9, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:41:01,573 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:41:11,581 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10006.045034999943, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:41:11.580Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 9, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:41:11,584 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:41:21,591 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10005.455700000084, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:41:21.590Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 9, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:41:21,591 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:41:31,599 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10009.316807000005, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:41:31.598Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 9, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:41:31,602 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:41:41,610 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10006.689697000184, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:41:41.609Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 9, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:41:41,613 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:41:51,621 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10006.437773000016, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:41:51.621Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 9, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:41:51,622 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:42:01,630 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10010.193493000088, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:42:01.629Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 9, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:42:01,632 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:42:11,641 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10007.06217700008, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:42:11.639Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 9, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:42:11,645 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:42:21,651 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10004.074118000062, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:42:21.650Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 9, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:42:21,652 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:42:31,657 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10006.149265000204, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:42:31.657Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 9, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:42:31,658 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:42:41,668 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10010.002588999896, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:42:41.667Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 9, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:42:41,671 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:42:51,675 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10002.23337500006, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:42:51.674Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 9, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:42:51,678 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:43:01,682 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10005.144371999904, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:43:01.682Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 9, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:43:01,683 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:43:11,693 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10009.017683000138, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:43:11.692Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 9, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:43:11,695 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:43:21,702 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10005.38434400005, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:43:21.701Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 9, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:43:21,704 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverConnectionId": 9, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
